-4.145850957711525098e+01,-4.152965037954936633e+01,-4.160079118198342485e+01,-4.167193198441736968e+01,-4.174307278685142819e+01,-4.181421358928545118e+01,-4.188535439171951680e+01,-4.136998768568322760e+01,-4.048529330197451515e+01,-3.985063314371592469e+01,-3.942502703384049312e+01,-3.914041268191350298e+01,-3.873890709518974518e+01,-3.837610120646765210e+01,-3.805334112126173807e+01,-3.790023430013337702e+01,-3.765123039288552320e+01,-3.733558413393229358e+01,-3.730407547077268759e+01,-3.723024068548403420e+01,-3.711978328352939371e+01,-3.702940796107782262e+01,-3.697907746477154944e+01,-3.696623720348400610e+01,-3.695126419421910668e+01,-3.695126419421917774e+01,-3.696623720348398479e+01,-3.697907746477147839e+01,-3.702940796107775157e+01,-3.711978328352927292e+01,-3.723024068548403420e+01,-3.730407547077277286e+01,-3.733558413393234332e+01,-3.765123039288556583e+01,-3.790023430013336281e+01,-3.805334112126169543e+01,-3.837610120646760947e+01,-3.873890709518974518e+01,-3.914041268191360246e+01,-3.942502703384053575e+01,-3.985063314371596732e+01,-4.048529330197456488e+01,-4.136998768568315654e+01,-4.188535439171945995e+01,-4.181421358928545828e+01,-4.174307278685142819e+01,-4.167193198441748336e+01,-4.160079118198336801e+01,-4.152965037954948002e+01,-4.145850957711536466e+01
-3.956798213358456451e+01,-3.962906871896450411e+01,-3.969015530434450056e+01,-3.975124188972444017e+01,-3.981232847510446504e+01,-3.987341506048456097e+01,-3.993450164586451478e+01,-3.945640170304608318e+01,-3.863820084603514715e+01,-3.804407885047990590e+01,-3.764036027137129281e+01,-3.736499119478926190e+01,-3.698235677890630768e+01,-3.663496762002850460e+01,-3.632424289668712447e+01,-3.617120978950887888e+01,-3.593077417430635023e+01,-3.562987404484734810e+01,-3.559438439445381164e+01,-3.551977395108262670e+01,-3.541140164562470005e+01,-3.532506341305159481e+01,-3.527640966399219735e+01,-3.526303689520030815e+01,-3.524771940633399936e+01,-3.524771940633398515e+01,-3.526303689520031526e+01,-3.527640966399218314e+01,-3.532506341305149533e+01,-3.541140164562463610e+01,-3.551977395108266933e+01,-3.559438439445384006e+01,-3.562987404484741205e+01,-3.593077417430637865e+01,-3.617120978950889310e+01,-3.632424289668713868e+01,-3.663496762002850460e+01,-3.698235677890627926e+01,-3.736499119478932585e+01,-3.764036027137132123e+01,-3.804407885047993432e+01,-3.863820084603514715e+01,-3.945640170304605476e+01,-3.993450164586445084e+01,-3.987341506048457518e+01,-3.981232847510449346e+01,-3.975124188972449701e+01,-3.969015530434467109e+01,-3.962906871896473149e+01,-3.956798213358479188e+01
-3.767745469005399173e+01,-3.772848705837998295e+01,-3.777951942670591734e+01,-3.783055179503185173e+01,-3.788158416335774348e+01,-3.793261653168369918e+01,-3.798364890000959804e+01,-3.754281572040889614e+01,-3.679110839009570100e+01,-3.623752455724377342e+01,-3.585569350890203566e+01,-3.558956970766509897e+01,-3.522580646262275650e+01,-3.489383403358924340e+01,-3.459514467211256772e+01,-3.444218527888440917e+01,-3.421031795572716305e+01,-3.392416395576243815e+01,-3.388469331813487884e+01,-3.380930721668123340e+01,-3.370302000772009166e+01,-3.362071886502531015e+01,-3.357374186321288789e+01,-3.355983658691663152e+01,-3.354417461844886361e+01,-3.354417461844884230e+01,-3.355983658691664573e+01,-3.357374186321287368e+01,-3.362071886502523199e+01,-3.370302000771994244e+01,-3.380930721668121919e+01,-3.388469331813494989e+01,-3.392416395576245236e+01,-3.421031795572717726e+01,-3.444218527888441628e+01,-3.459514467211258193e+01,-3.489383403358925761e+01,-3.522580646262274229e+01,-3.558956970766513450e+01,-3.585569350890210671e+01,-3.623752455724383026e+01,-3.679110839009570100e+01,-3.754281572040883930e+01,-3.798364890000950567e+01,-3.793261653168369207e+01,-3.788158416335784295e+01,-3.783055179503202226e+01,-3.777951942670620156e+01,-3.772848705838021033e+01,-3.767745469005433279e+01
-3.578692724652353263e+01,-3.582790539779534811e+01,-3.586888354906727727e+01,-3.590986170033912117e+01,-3.595083985161092244e+01,-3.599181800288281607e+01,-3.603279615415462445e+01,-3.562922973777176594e+01,-3.494401593415630458e+01,-3.443097026400775462e+01,-3.407102674643287799e+01,-3.381414822054082947e+01,-3.346925614633923374e+01,-3.315270044715006748e+01,-3.286604644753797544e+01,-3.271316076825992525e+01,-3.248986173714796166e+01,-3.221845386667752109e+01,-3.217500224181600288e+01,-3.209884048227985431e+01,-3.199463836981542286e+01,-3.191637431699903971e+01,-3.187107406243356422e+01,-3.185663627863293001e+01,-3.184062983056368523e+01,-3.184062983056367102e+01,-3.185663627863291936e+01,-3.187107406243355001e+01,-3.191637431699898286e+01,-3.199463836981536247e+01,-3.209884048227984010e+01,-3.217500224181603841e+01,-3.221845386667752109e+01,-3.248986173714796166e+01,-3.271316076825993235e+01,-3.286604644753793991e+01,-3.315270044715002484e+01,-3.346925614633919821e+01,-3.381414822054085789e+01,-3.407102674643289220e+01,-3.443097026400776883e+01,-3.494401593415631169e+01,-3.562922973777168067e+01,-3.603279615415459602e+01,-3.599181800288280897e+01,-3.595083985161102191e+01,-3.590986170033920644e+01,-3.586888354906739096e+01,-3.582790539779568917e+01,-3.578692724652387369e+01
-3.389639980299318722e+01,-3.392732373721088379e+01,-3.395824767142858036e+01,-3.398917160564636220e+01,-3.402009553986417245e+01,-3.405101947408192586e+01,-3.408194340829969349e+01,-3.371564375513456469e+01,-3.309692347821687974e+01,-3.262441597077165056e+01,-3.228635998396364215e+01,-3.203872673341658128e+01,-3.171270583005566834e+01,-3.141156686071082049e+01,-3.113694822296336184e+01,-3.098413625763546975e+01,-3.076940551856881001e+01,-3.051274377759260759e+01,-3.046531116549709850e+01,-3.038837374787841838e+01,-3.028625673191072565e+01,-3.021202976897278347e+01,-3.016840626165425476e+01,-3.015343597034925693e+01,-3.013708504267852106e+01,-3.013708504267852106e+01,-3.015343597034924983e+01,-3.016840626165422634e+01,-3.021202976897274795e+01,-3.028625673191066880e+01,-3.038837374787846102e+01,-3.046531116549710561e+01,-3.051274377759264667e+01,-3.076940551856883133e+01,-3.098413625763548396e+01,-3.113694822296341158e+01,-3.141156686071080628e+01,-3.171270583005566124e+01,-3.203872673341666655e+01,-3.228635998396372031e+01,-3.262441597077170030e+01,-3.309692347821689395e+01,-3.371564375513455047e+01,-3.408194340829961533e+01,-3.405101947408192586e+01,-3.402009553986420087e+01,-3.398917160564650430e+01,-3.395824767142880773e+01,-3.392732373721105432e+01,-3.389639980299341460e+01
-3.200587235946250075e+01,-3.202674207662619210e+01,-3.204761179378988345e+01,-3.206848151095354638e+01,-3.208935122811730878e+01,-3.211022094528097881e+01,-3.213109066244470569e+01,-3.180205777249739896e+01,-3.124983102227748333e+01,-3.081786167753556072e+01,-3.050169322149439921e+01,-3.026330524629236862e+01,-2.995615551377215979e+01,-2.967043327427165877e+01,-2.940784999838886193e+01,-2.925511174701102846e+01,-2.904894929998964415e+01,-2.880703368850766566e+01,-2.875562008917819412e+01,-2.867790701347707483e+01,-2.857787509400611725e+01,-2.850768522094654145e+01,-2.846573846087495951e+01,-2.845023566206558385e+01,-2.843354025479341374e+01,-2.843354025479340663e+01,-2.845023566206558030e+01,-2.846573846087494530e+01,-2.850768522094652013e+01,-2.857787509400606041e+01,-2.867790701347706772e+01,-2.875562008917820123e+01,-2.880703368850771540e+01,-2.904894929998965836e+01,-2.925511174701101424e+01,-2.940784999838885483e+01,-2.967043327427164456e+01,-2.995615551377215269e+01,-3.026330524629236152e+01,-3.050169322149446316e+01,-3.081786167753560335e+01,-3.124983102227750464e+01,-3.180205777249736343e+01,-3.213109066244470569e+01,-3.211022094528098592e+01,-3.208935122811735141e+01,-3.206848151095357480e+01,-3.204761179378999714e+01,-3.202674207662641948e+01,-3.200587235946261444e+01
-3.011534491593192797e+01,-3.012616041604161410e+01,-3.013697591615115812e+01,-3.014779141626078740e+01,-3.015860691637044511e+01,-3.016942241648009215e+01,-3.018023791658974631e+01,-2.988847178986020481e+01,-2.940273856633809046e+01,-2.901130738429949929e+01,-2.871702645902519890e+01,-2.848788375916814175e+01,-2.819960519748862282e+01,-2.792929968783245442e+01,-2.767875177381426255e+01,-2.752608723638651611e+01,-2.732849308141042144e+01,-2.710132359942277702e+01,-2.704592901285928974e+01,-2.696744027907568864e+01,-2.686949345610144846e+01,-2.680334067292028521e+01,-2.676307066009565006e+01,-2.674703535378189656e+01,-2.672999546690824957e+01,-2.672999546690824246e+01,-2.674703535378189656e+01,-2.676307066009562163e+01,-2.680334067292023548e+01,-2.686949345610138096e+01,-2.696744027907566021e+01,-2.704592901285931816e+01,-2.710132359942279834e+01,-2.732849308141044276e+01,-2.752608723638653032e+01,-2.767875177381428387e+01,-2.792929968783244021e+01,-2.819960519748863703e+01,-2.848788375916815596e+01,-2.871702645902522022e+01,-2.901130738429953482e+01,-2.940273856633810112e+01,-2.988847178986021902e+01,-3.018023791658973920e+01,-3.016942241648010281e+01,-3.015860691637047353e+01,-3.014779141626081582e+01,-3.013697591615124338e+01,-3.012616041604161410e+01,-3.011534491593192797e+01
-2.822481747240129835e+01,-2.822557875545689399e+01,-2.822634003851248963e+01,-2.822710132156807106e+01,-2.822786260462363828e+01,-2.822862388767921615e+01,-2.822938517073480114e+01,-2.797488580722305329e+01,-2.755564611039867984e+01,-2.720475309106343786e+01,-2.693235969655598439e+01,-2.671246227204390777e+01,-2.644305488120512848e+01,-2.618816610139325718e+01,-2.594965354923970224e+01,-2.579706272576204640e+01,-2.560803686283126268e+01,-2.539561351033784931e+01,-2.533623793654038536e+01,-2.525697354467429534e+01,-2.516111181819679743e+01,-2.509899612489400056e+01,-2.506040285931631217e+01,-2.504383504549818085e+01,-2.502645067902310672e+01,-2.502645067902310316e+01,-2.504383504549818440e+01,-2.506040285931629796e+01,-2.509899612489396148e+01,-2.516111181819675835e+01,-2.525697354467430245e+01,-2.533623793654042444e+01,-2.539561351033789549e+01,-2.560803686283127689e+01,-2.579706272576206416e+01,-2.594965354923971290e+01,-2.618816610139323586e+01,-2.644305488120511782e+01,-2.671246227204393620e+01,-2.693235969655602702e+01,-2.720475309106346273e+01,-2.755564611039868339e+01,-2.797488580722303197e+01,-2.822938517073476561e+01,-2.822862388767921971e+01,-2.822786260462368091e+01,-2.822710132156814211e+01,-2.822634003851266016e+01,-2.822557875545714978e+01,-2.822481747240146888e+01
-2.633429002887078241e+01,-2.632499709487228756e+01,-2.631570416087379272e+01,-2.630641122687529787e+01,-2.629711829287682434e+01,-2.628782535887832950e+01,-2.627853242487984176e+01,-2.606129982458586980e+01,-2.570855365445927276e+01,-2.539819879782735512e+01,-2.514769293408678408e+01,-2.493704078491968090e+01,-2.468650456492161283e+01,-2.444703251495405283e+01,-2.422055532466512773e+01,-2.406803821513759800e+01,-2.388758064425210037e+01,-2.368990342125292159e+01,-2.362654686022147388e+01,-2.354650681027288428e+01,-2.345273018029214285e+01,-2.339465157686774432e+01,-2.335773505853701693e+01,-2.334063473721449355e+01,-2.332290589113794255e+01,-2.332290589113794610e+01,-2.334063473721448645e+01,-2.335773505853700271e+01,-2.339465157686772301e+01,-2.345273018029210732e+01,-2.354650681027290204e+01,-2.362654686022149875e+01,-2.368990342125293580e+01,-2.388758064425208261e+01,-2.406803821513758734e+01,-2.422055532466512773e+01,-2.444703251495403862e+01,-2.468650456492160927e+01,-2.493704078491968801e+01,-2.514769293408679118e+01,-2.539819879782735512e+01,-2.570855365445926566e+01,-2.606129982458586625e+01,-2.627853242487980268e+01,-2.628782535887833660e+01,-2.629711829287685987e+01,-2.630641122687535471e+01,-2.631570416087387798e+01,-2.632499709487240125e+01,-2.633429002887083925e+01
-2.444376258534029489e+01,-2.442441543428770956e+01,-2.440506828323512423e+01,-2.438572113218258153e+01,-2.436637398112999975e+01,-2.434702683007745350e+01,-2.432767967902488948e+01,-2.414771384194871118e+01,-2.386146119851984793e+01,-2.359164450459128659e+01,-2.336302617161755890e+01,-2.316161929779544337e+01,-2.292995424863807585e+01,-2.270589892851484848e+01,-2.249145710009057808e+01,-2.233901370451310697e+01,-2.216712442567290609e+01,-2.198419333216801519e+01,-2.191685578390257660e+01,-2.183604007587150875e+01,-2.174434854238748471e+01,-2.169030702884148809e+01,-2.165506725775769326e+01,-2.163743442893081337e+01,-2.161936110325278904e+01,-2.161936110325279969e+01,-2.163743442893080982e+01,-2.165506725775768970e+01,-2.169030702884147033e+01,-2.174434854238745629e+01,-2.183604007587151230e+01,-2.191685578390259082e+01,-2.198419333216803295e+01,-2.216712442567291674e+01,-2.233901370451311408e+01,-2.249145710009056387e+01,-2.270589892851483782e+01,-2.292995424863808296e+01,-2.316161929779546114e+01,-2.336302617161757667e+01,-2.359164450459128304e+01,-2.386146119851986214e+01,-2.414771384194868631e+01,-2.432767967902486106e+01,-2.434702683007745350e+01,-2.436637398113003883e+01,-2.438572113218262416e+01,-2.440506828323518107e+01,-2.442441543428779482e+01,-2.444376258534035173e+01
